instance,vehicle_id,route,num_customers,route_load,route_length,capacity_limit,s_max,feasible,total_solution_length,execution_time_sec
A-n80-k10,1,depot -> 50 -> 74 -> 37 -> 43 -> 52 -> 78 -> 4 -> 30 -> 32 -> depot,9,100,157.42,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,2,depot -> 41 -> 22 -> 8 -> 2 -> 14 -> 68 -> 71 -> 73 -> depot,8,100,192.68,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,3,depot -> 79 -> 44 -> 17 -> 69 -> 62 -> 58 -> 76 -> 21 -> 26 -> 16 -> 34 -> depot,11,99,259.49,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,4,depot -> 19 -> 49 -> 80 -> 29 -> 53 -> 15 -> 72 -> 35 -> depot,8,99,234.01,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,5,depot -> 75 -> 61 -> 40 -> 18 -> 28 -> 60 -> depot,6,99,161.43,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,6,depot -> 10 -> 56 -> 57 -> 70 -> 66 -> 36 -> 27 -> 20 -> 48 -> 42 -> 47 -> depot,11,99,290.1,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,7,depot -> 54 -> 67 -> 39 -> 59 -> 77 -> 51 -> 33 -> 5 -> 55 -> 65 -> depot,10,100,251.9,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,8,depot -> 11 -> 38 -> 3 -> 9 -> 25 -> 7 -> 31 -> 45 -> depot,8,99,216.32,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,9,depot -> 23 -> 46 -> 12 -> 64 -> 6 -> depot,5,96,263.66,100,900.0,True,2163.63,37.794016709000005
A-n80-k10,10,depot -> 24 -> 63 -> 13 -> depot,3,51,136.62,100,900.0,True,2163.63,37.794016709000005
