instance,vehicle_id,route,num_customers,route_load,route_length,capacity_limit,s_max,feasible,total_solution_length,execution_time_sec
A-n80-k10,1,depot -> 50 -> 74 -> 43 -> 52 -> 78 -> 4 -> 75 -> 28 -> 34 -> depot,9,100,202.89,100,900.0,True,2029.57,37.908003375
A-n80-k10,2,depot -> 41 -> 22 -> 2 -> 8 -> 14 -> 37 -> depot,6,100,124.95,100,900.0,True,2029.57,37.908003375
A-n80-k10,3,depot -> 68 -> 54 -> 67 -> 71 -> 73 -> 77 -> 51 -> 33 -> 5 -> 23 -> depot,10,100,221.67,100,900.0,True,2029.57,37.908003375
A-n80-k10,4,depot -> 59 -> 39 -> 46 -> 55 -> 10 -> 56 -> 16 -> 65 -> depot,8,100,236.59,100,900.0,True,2029.57,37.908003375
A-n80-k10,5,depot -> 69 -> 44 -> 17 -> 62 -> 9 -> 38 -> 3 -> 35 -> 72 -> depot,9,99,244.53,100,900.0,True,2029.57,37.908003375
A-n80-k10,6,depot -> 12 -> 53 -> 29 -> 80 -> 49 -> 19 -> 15 -> depot,7,99,194.03,100,900.0,True,2029.57,37.908003375
A-n80-k10,7,depot -> 11 -> 64 -> 63 -> 24 -> 45 -> 13 -> 6 -> depot,7,99,161.85,100,900.0,True,2029.57,37.908003375
A-n80-k10,8,depot -> 48 -> 57 -> 70 -> 66 -> 36 -> 27 -> 20 -> 58 -> 79 -> 31 -> 25 -> 7 -> depot,12,100,300.81,100,900.0,True,2029.57,37.908003375
A-n80-k10,9,depot -> 47 -> 42 -> 26 -> 21 -> 76 -> 60 -> 18 -> depot,7,99,203.2,100,900.0,True,2029.57,37.908003375
A-n80-k10,10,depot -> 30 -> 32 -> 61 -> 40 -> depot,4,46,139.05,100,900.0,True,2029.57,37.908003375
